source_x,mu_1,mu_2,mu_3,mu_4,td_1,td_2,td_3,td_4
2.0000000000000002e-07,-6.042395,7.462348,-6.042395,7.420624,1.811746e-06,2.269274e-08,1.811746e-06,0.0
2.124777358613364e-07,-6.042403,7.463659,-6.042403,7.419332,1.812456e-06,2.410851e-08,1.812456e-06,0.0
2.257339411837992e-07,-6.042413,7.465051,-6.042413,7.417959,1.81321e-06,2.56126e-08,1.81321e-06,0.0
2.398171836489491e-07,-6.042424,7.466531,-6.042424,7.416501,1.814012e-06,2.721054e-08,1.814012e-06,0.0
2.54779061011855e-07,-6.042437,7.468105,-6.042437,7.414952,1.814864e-06,2.890817e-08,1.814864e-06,0.0
2.706743901433812e-07,-6.042451,7.469777,-6.042451,7.413308,1.815769e-06,3.071171e-08,1.815769e-06,0.0
2.8756140786656826e-07,-6.042467,7.471554,-6.042467,7.411563,1.816732e-06,3.262778e-08,1.816732e-06,0.0
3.055019843229342e-07,-6.042485,7.473444,-6.042485,7.409709,1.817754e-06,3.466338e-08,1.817754e-06,0.0
3.245618496504127e-07,-6.042505,7.475452,-6.042505,7.407741,1.818841e-06,3.682598e-08,1.818841e-06,0.0
3.448108348034358e-07,-6.042528,7.477588,-6.042528,7.405652,1.819995e-06,3.912351e-08,1.819995e-06,0.0
3.663231273974566e-07,-6.042554,7.479858,-6.042554,7.403433,1.821222e-06,4.156437e-08,1.821222e-06,0.0
3.8917754351527807e-07,-6.042583,7.482271,-6.042583,7.401078,1.822526e-06,4.415752e-08,1.822526e-06,0.0
4.13457816471015e-07,-6.042617,7.484837,-6.042617,7.398578,1.823912e-06,4.691244e-08,1.823912e-06,0.0
4.392529035896661e-07,-6.042654,7.487565,-6.042654,7.395924,1.825385e-06,4.983925e-08,1.825385e-06,0.0
4.666573121262506e-07,-6.042696,7.490466,-6.042696,7.393107,1.826951e-06,5.294866e-08,1.826951e-06,0.0
4.957714455186144e-07,-6.042743,7.493551,-6.042743,7.390117,1.828615e-06,5.625205e-08,1.828615e-06,0.0
5.267019712424853e-07,-6.042797,7.496831,-6.042797,7.386944,1.830383e-06,5.976154e-08,1.830383e-06,0.0
5.595622116165299e-07,-6.042857,7.50032,-6.042857,7.383576,1.832263e-06,6.348999e-08,1.832263e-06,0.0
5.944725589892113e-07,-6.042926,7.50403,-6.042926,7.380001,1.834261e-06,6.745104e-08,1.834261e-06,0.0
6.31560916828613e-07,-6.043003,7.507977,-6.043003,7.376208,1.836385e-06,7.165922e-08,1.836385e-06,0.0
6.709631683312673e-07,-6.04309,7.512175,-6.04309,7.372184,1.838642e-06,7.612995e-08,1.838642e-06,0.0
7.12823674266882e-07,-6.043188,7.516641,-6.043188,7.367914,1.841042e-06,8.08796e-08,1.841042e-06,0.0
7.572958018829291e-07,-6.043299,7.521392,-6.043299,7.363383,1.843594e-06,8.592557e-08,1.843594e-06,0.0
8.045424868069013e-07,-6.043424,7.526447,-6.043424,7.358577,1.846306e-06,9.128635e-08,1.846306e-06,0.0
8.547368300048974e-07,-6.043565,7.531827,-6.043565,7.353479,1.84919e-06,9.698158e-08,1.84919e-06,0.0
9.080627319836828e-07,-6.043724,7.537551,-6.043724,7.348073,1.852256e-06,1.030321e-07,1.852256e-06,0.0
9.647155665597621e-07,-6.043904,7.543644,-6.043904,7.342338,1.855516e-06,1.094602e-07,1.855516e-06,0.0
1.024902896664023e-06,-6.044107,7.550129,-6.044107,7.336258,1.858983e-06,1.162893e-07,1.858983e-06,0.0
1.0888452348044863e-06,-6.044336,7.557033,-6.044336,7.329811,1.862669e-06,1.235444e-07,1.862669e-06,0.0
1.1567768509733122e-06,-6.044595,7.564384,-6.044595,7.322976,1.86659e-06,1.312522e-07,1.86659e-06,0.0
1.2289466309580796e-06,-6.044887,7.572212,-6.044887,7.31573,1.870759e-06,1.394408e-07,1.870759e-06,0.0
1.3056189882019529e-06,-6.045216,7.580548,-6.045216,7.308051,1.875193e-06,1.481403e-07,1.875193e-06,0.0
1.387074832553599e-06,-6.045588,7.589427,-6.045588,7.299913,1.879909e-06,1.573826e-07,1.879909e-06,0.0
1.473612599456155e-06,-6.046008,7.598887,-6.046008,7.291291,1.884927e-06,1.672015e-07,1.884927e-06,0.0
