source_x,mu_1,mu_2,mu_3,mu_4,td_1,td_2,td_3,td_4
1.5e-05,5.498747,-7.522601,-7.522601,12.33703,0.0,1.146605e-06,1.146605e-06,9.573496e-07
1.7111111111111112e-05,5.315568,-8.111147,-8.111147,13.69496,0.0,1.243772e-06,1.243772e-06,1.092088e-06
1.9222222222222225e-05,5.146723,-8.891812,-8.891812,15.42246,0.0,1.344963e-06,1.344963e-06,1.226826e-06
2.1333333333333335e-05,4.990592,-9.951109,17.69415,-9.951109,0.0,1.450221e-06,1.361564e-06,1.450221e-06
2.3444444444444444e-05,4.845792,-11.44097,-11.44097,20.81527,0.0,1.559591e-06,1.559591e-06,1.496302e-06
2.5555555555555557e-05,4.711132,-13.65378,25.3718,-13.65378,0.0,1.673129e-06,1.63104e-06,1.673129e-06
2.766666666666667e-05,4.585583,-17.23202,-17.23202,32.64964,0.0,1.790893e-06,1.790893e-06,1.765778e-06
2.977777777777778e-05,4.468251,-23.91314,-23.91314,46.12464,0.0,1.912953e-06,1.912953e-06,1.900516e-06
3.188888888888889e-05,4.358355,-40.5888,-40.5888,79.58083,0.0,2.039384e-06,2.039384e-06,2.035254e-06
3.4e-05,4.255209,-153.1949,304.8906,-153.1949,0.0,2.170271e-06,2.169992e-06,2.170271e-06
