source_x,mu_1,mu_2,mu_3,mu_4,td_1,td_2,td_3,td_4
1.5e-05,15.20469,5.165082,-8.791946,-8.791946,7.564243e-07,0.0,8.3241e-07,8.3241e-07
1.6222222222222223e-05,16.75152,5.048506,-9.508154,-9.508154,8.180589e-07,0.0,8.800985e-07,8.800985e-07
1.7444444444444444e-05,18.67642,4.938278,-10.41666,-10.41666,8.796935e-07,0.0,9.291594e-07,9.291594e-07
1.8666666666666665e-05,21.13727,4.833894,-11.59617,-11.59617,9.41328e-07,0.0,9.796049e-07,9.796049e-07
1.988888888888889e-05,24.39412,4.7349,-13.17647,-13.17647,1.002963e-06,0.0,1.031449e-06,1.031449e-06
2.111111111111111e-05,28.90769,4.640889,-15.38773,-15.38773,1.064597e-06,0.0,1.084705e-06,1.084705e-06
2.2333333333333332e-05,4.551495,-18.68043,-18.68043,35.5793,0.0,1.139391e-06,1.139391e-06,1.126232e-06
2.3555555555555553e-05,4.466385,-24.07136,-24.07136,46.44285,0.0,1.195523e-06,1.195523e-06,1.187866e-06
2.4777777777777774e-05,4.38526,-34.4407,-34.4407,67.25903,0.0,1.253121e-06,1.253121e-06,1.249501e-06
2.6e-05,4.307844,-62.40731,-62.40731,123.2658,0.0,1.312204e-06,1.312204e-06,1.311135e-06
