source_y,mu_1,mu_2,mu_3,mu_4,td_1,td_2,td_3,td_4
1.5e-05,-4.111702,8.616815,-10.31638,8.616815,1.103064e-06,0.0,2.142841e-07,1.355253e-18
1.7666666666666668e-05,-3.87415,9.18376,-11.68503,9.18376,1.2163e-06,4.573978e-20,1.695146e-07,0.0
2.0333333333333334e-05,-3.657697,9.949766,-13.43029,9.949766,1.334965e-06,0.0,1.301743e-07,1.253609e-19
2.3000000000000003e-05,-3.459651,-15.73241,11.0036,11.0036,1.458991e-06,9.619432e-08,0.0,1.579716e-18
2.566666666666667e-05,-3.27776,12.50268,12.50268,-18.90849,1.5883e-06,3.390673e-18,0.0,6.749806e-08
2.8333333333333335e-05,-3.110125,-23.57279,14.75319,14.75319,1.722809e-06,4.400236e-08,0.0,3.701534e-19
3.1e-05,-2.955133,18.43732,-31.09138,18.43732,1.862431e-06,6.567046e-18,2.561804e-08,0.0
3.366666666666667e-05,-2.811405,-45.23934,25.44193,25.44193,2.007069e-06,1.225078e-08,0.0,7.45389e-20
3.633333333333333e-05,-2.677757,43.60705,43.60705,-81.69794,2.156625e-06,4.904321e-19,0.0,3.801836e-09
3.9e-05,-2.553165,197.6798,197.6798,-389.9624,2.310997e-06,3.315753e-16,0.0,1.688287e-10
