source_y,mu_1,mu_2,mu_3,mu_4,td_1,td_2,td_3,td_4
1e-06,-5.943977,7.442837,-6.143502,7.442837,1.853448e-06,3.388132e-21,1.748111e-06,0.0
1.6969696969696969e-06,-5.87704,7.445504,-6.215755,7.445504,1.890904e-06,6.776264e-21,1.71215e-06,0.0
2.3939393939393936e-06,-5.81138,7.449554,-6.289484,7.449554,1.928745e-06,0.0,1.676575e-06,0.0
3.090909090909091e-06,-5.746962,7.454991,-6.364736,7.454991,1.966974e-06,6.776264e-21,1.641387e-06,0.0
3.7878787878787874e-06,-5.683752,7.461822,-6.441557,7.461822,2.005588e-06,0.0,1.606584e-06,0.0
4.484848484848485e-06,-5.621715,7.470054,-6.519998,7.470054,2.044588e-06,0.0,1.572168e-06,0.0
5.181818181818181e-06,-5.560818,7.479698,-6.600111,7.479698,2.083975e-06,0.0,1.538138e-06,3.388132e-21
5.878787878787878e-06,-5.501032,7.490764,-6.681948,7.490764,2.123747e-06,0.0,1.504493e-06,6.776264e-21
6.575757575757575e-06,-5.442326,7.503266,-6.765567,7.503266,2.163905e-06,5.082198e-21,1.471235e-06,0.0
7.272727272727272e-06,-5.38467,7.517218,-6.851027,7.517218,2.204448e-06,0.0,1.438361e-06,0.0
7.969696969696969e-06,-5.328037,7.532638,-6.938389,7.532638,2.245377e-06,0.0,1.405874e-06,1.694066e-21
8.666666666666666e-06,-5.2724,7.549544,-7.027716,7.549544,2.286691e-06,0.0,1.373771e-06,3.388132e-21
9.363636363636363e-06,-5.217733,7.567957,-7.119077,7.567957,2.328391e-06,0.0,1.342054e-06,8.470329e-21
1.006060606060606e-05,-5.16401,7.587899,-7.212541,7.587899,2.370475e-06,3.388132e-21,1.310721e-06,0.0
1.0757575757575756e-05,-5.111208,7.609394,-7.308183,7.609394,2.412944e-06,0.0,1.279773e-06,9.317362e-20
1.1454545454545454e-05,-5.059303,7.63247,-7.406078,7.63247,2.455797e-06,0.0,1.24921e-06,1.185846e-20
1.2151515151515151e-05,-5.008272,7.657155,-7.506307,7.657155,2.499034e-06,0.0,1.219031e-06,1.694066e-21
1.2848484848484848e-05,-4.958093,7.683481,-7.608956,7.683481,2.542656e-06,0.0,1.189235e-06,5.082198e-21
1.3545454545454546e-05,-4.908746,7.711482,-7.714112,7.711482,2.58666e-06,1.01644e-20,1.159824e-06,0.0
1.4242424242424241e-05,-4.860209,7.741193,-7.821869,7.741193,2.631049e-06,1.524659e-20,1.130795e-06,0.0
1.4939393939393939e-05,-4.812463,7.772654,-7.932324,7.772654,2.67582e-06,3.594808e-18,1.10215e-06,0.0
1.5636363636363636e-05,-4.765489,7.805906,-8.045581,7.805906,2.720974e-06,0.0,1.073887e-06,8.470329e-21
1.633333333333333e-05,-4.719268,7.840994,-8.161746,7.840994,2.76651e-06,1.694066e-21,1.046007e-06,0.0
1.703030303030303e-05,-4.673783,7.877965,-8.280933,7.877965,2.812429e-06,0.0,1.018509e-06,0.0
1.7727272727272726e-05,-4.629015,7.916872,-8.403263,7.916872,2.858729e-06,0.0,9.913921e-07,0.0
1.8424242424242422e-05,-4.584948,7.957768,-8.528861,7.957768,2.90541e-06,0.0,9.646567e-07,0.0
1.912121212121212e-05,-4.541565,8.000711,-8.657859,8.000711,2.952472e-06,0.0,9.383022e-07,2.032879e-20
1.9818181818181817e-05,-4.498852,8.045764,-8.790397,8.045764,2.999915e-06,0.0,9.123281e-07,5.082198e-21
2.0515151515151512e-05,-4.456792,8.092993,-8.926624,8.092993,3.047737e-06,0.0,8.86734e-07,3.388132e-21
