source_y,mu_1,mu_2,mu_3,mu_4,td_1,td_2,td_3,td_4
2e-05,-3.301058,12.26928,-18.41894,12.26928,9.806579e-07,1.524659e-20,4.43299e-08,0.0
2.1111111111111114e-05,-3.210015,-20.52009,13.27545,13.27545,1.024313e-06,3.596685e-08,0.0,3.904356e-17
2.2222222222222223e-05,-3.122747,-23.1311,14.53848,14.53848,1.068865e-06,2.850076e-08,4.485039e-19,0.0
2.3333333333333336e-05,-3.039023,-26.46318,16.16386,16.16386,1.114306e-06,2.192335e-08,0.0,8.242054e-18
2.4444444444444445e-05,-2.958631,18.32477,18.32477,-30.86288,1.160627e-06,0.0,4.76168e-17,1.622613e-08
2.5555555555555557e-05,-2.881378,21.3266,21.3266,-36.94121,1.20782e-06,3.811648e-21,0.0,1.140037e-08
2.6666666666666667e-05,-2.807082,25.76282,-45.88527,25.76282,1.255874e-06,5.929231e-21,7.437119e-09,0.0
2.777777777777778e-05,-2.735577,32.95925,-60.34688,32.95925,1.304783e-06,0.0,4.327231e-09,4.235165e-22
2.888888888888889e-05,-2.666708,46.6072,46.6072,-87.70882,1.354535e-06,0.0,8.783732e-19,2.061392e-09
3e-05,-2.600333,82.28607,82.28606,-159.13,1.405122e-06,1.587241e-15,0.0,6.301321e-10
