theta,mu_1,mu_2,mu_3,mu_4,td_1,td_2,td_3,td_4
0.08,-14.22179,15.56286,-27.40984,28.86852,1.396289e-06,0.0,7.711551e-07,6.429808e-07
0.16000000000000003,-7.11411,10.66556,8.48038,-9.232942,2.099187e-06,6.681563e-07,0.0,1.468836e-06
0.24000000000000005,-4.447867,6.678312,-5.257871,5.824684,2.87833e-06,6.794221e-07,2.258292e-06,0.0
0.32000000000000006,-3.046363,-3.447963,4.861093,4.427838,3.722566e-06,3.116961e-06,6.885111e-07,0.0
0.4000000000000001,-2.180367,3.814214,-2.406733,3.563478,4.627738e-06,6.964022e-07,4.039964e-06,0.0
0.4800000000000001,-1.591222,3.130622,-1.728507,2.973825,5.586372e-06,7.028905e-07,5.020293e-06,0.0
0.56,-1.163813,2.646866,-1.250717,2.543887,6.58143e-06,7.072385e-07,6.041893e-06,0.0
0.64,-0.8390728,2.284014,-0.8952997,2.214234,7.575954e-06,7.080426e-07,7.069369e-06,0.0
0.7200000000000001,-0.583556,1.998637,-0.62004,1.950479,8.490834e-06,7.02646e-07,8.026122e-06,0.0
0.8,-0.3769071,1.763671,-0.4000738,1.730201,9.148948e-06,6.854891e-07,8.739462e-06,0.0
