theta,mu_1,mu_2,mu_3,mu_4,td_1,td_2,td_3,td_4
0.0031415926535897933,-7.162335,11.49924,-7.190659,5.64587,3.406621e-06,2.707996e-06,3.399277e-06,0.0
0.068329640215578,-6.878117,11.51421,-7.493682,5.649758,3.479386e-06,2.700735e-06,3.319721e-06,0.0
0.1335176877775662,-6.611964,11.55553,-7.811983,5.660758,3.545767e-06,2.680301e-06,3.234191e-06,0.0
0.1987057353395544,-6.364089,11.62033,-8.142573,5.678937,3.60561e-06,2.646896e-06,3.142926e-06,0.0
0.26389378290154264,-6.134256,11.70384,-8.481011,5.7044,3.658785e-06,2.600843e-06,3.046198e-06,0.0
0.32908183046353084,-5.921938,11.79924,-8.821171,5.737298,3.705181e-06,2.542584e-06,2.94432e-06,0.0
0.39426987802551905,-5.726426,-9.155133,5.777826,11.8977,3.74471e-06,2.837641e-06,0.0,2.472656e-06
0.45945792558750725,-5.546909,-9.47332,5.826224,11.98858,3.777304e-06,2.72656e-06,0.0,2.391685e-06
0.5246459731494955,-5.382536,-9.764983,5.882781,12.05998,3.802913e-06,2.611524e-06,0.0,2.300359e-06
0.5898340207114836,-5.232457,-10.01911,5.947838,12.09969,3.821506e-06,2.493035e-06,0.0,2.199414e-06
0.6550220682734719,-5.095843,-10.22571,6.021785,12.09648,3.833067e-06,2.371655e-06,0.0,2.089613e-06
0.7202101158354601,-4.97191,-10.37728,6.105071,12.0416,3.837601e-06,2.248001e-06,0.0,1.971726e-06
0.7853981633974483,-4.859928,-10.47008,6.1982,11.93007,3.835127e-06,2.122749e-06,0.0,1.846514e-06
0.8505862109594364,-4.759224,-10.50491,6.301739,11.76143,3.82568e-06,1.996628e-06,0.0,1.714715e-06
0.9157742585214247,-4.669188,-10.48703,6.416313,11.5397,3.809312e-06,1.870407e-06,0.0,1.577036e-06
0.980962306083413,-4.589269,6.542609,11.27255,-10.42537,3.78609e-06,0.0,1.434148e-06,1.744887e-06
1.046150353645401,-4.518979,6.681374,10.97002,-10.3312,3.756095e-06,0.0,1.286684e-06,1.620884e-06
1.1113384012073892,-4.457889,6.833409,10.64299,-10.21666,3.719424e-06,0.0,1.135239e-06,1.499211e-06
1.1765264487693774,-4.405627,6.99956,10.302,-10.09352,3.676188e-06,0.0,9.803771e-07,1.380662e-06
1.2417144963313658,-4.361874,7.180702,9.956351,-9.972274,3.626512e-06,0.0,8.226319e-07,1.265994e-06
1.306902543893354,-4.326365,-9.861701,7.377714,9.613675,3.570538e-06,1.155911e-06,0.0,6.625138e-07
1.372090591455342,-4.298886,-9.768716,7.591441,9.279816,3.508419e-06,1.051049e-06,0.0,5.005142e-07
1.4372786390173304,-4.27927,-9.698437,7.822638,8.958967,3.440325e-06,9.519664e-07,0.0,3.371101e-07
1.5024666865793186,-4.267402,-9.654354,8.071894,8.653908,3.366441e-06,8.591346e-07,0.0,1.727679e-07
1.5676547341413067,-4.263208,8.366286,-9.638499,8.33952,3.286969e-06,7.947365e-09,7.72931e-07,0.0
