source_x,mu_1,mu_2,td_1,td_2
4.327000000000001e-05,3.500014,-10.1723,0.0,2.182032e-06
4.4046333424395086e-05,3.472867,-9.649812,0.0,2.221181e-06
4.4836595519597484e-05,3.445831,-9.165865,0.0,2.261033e-06
4.564103618837377e-05,3.418911,-8.716412,0.0,2.301599e-06
4.6459909817147975e-05,3.392109,-8.297955,0.0,2.342894e-06
4.7293475356446164e-05,3.36543,-7.907456,0.0,2.384929e-06
4.8141996402783435e-05,3.338877,-7.542257,0.0,2.427718e-06
4.900574128202061e-05,3.312452,-7.20003,0.0,2.471276e-06
4.9884983134215895e-05,3.28616,-6.878724,0.0,2.515614e-06
5.077999999999996e-05,3.260003,-6.576522,0.0,2.560748e-06
