source_x,mu_1,mu_2,td_1,td_2
1.4709883559729996e-05,-4.523894,5.856291,9.275921e-07,0.0
1.4988779356048906e-05,-4.50204,5.834492,9.393636e-07,0.0
1.527296294848721e-05,-4.479878,5.812445,9.513836e-07,0.0
1.556253459236671e-05,-4.457401,5.790148,9.636571e-07,0.0
1.5857596443825574e-05,-4.434605,5.767598,9.761897e-07,0.0
1.6158252595857368e-05,-4.411485,5.744795,9.889866e-07,0.0
1.6464609115033372e-05,-4.388035,5.721735,1.002053e-06,0.0
1.6776774078921137e-05,-4.364249,5.698418,1.015396e-06,0.0
1.7094857614212457e-05,-4.340124,5.674841,1.02902e-06,0.0
1.7418971935574305e-05,-4.315652,5.651004,1.042931e-06,0.0
1.7749231385236277e-05,-4.290829,5.626903,1.057135e-06,0.0
1.8085752473328724e-05,-4.26565,5.602539,1.071638e-06,0.0
1.842865391898556e-05,-4.24011,5.577909,1.086447e-06,0.0
1.877805669222647e-05,-4.214203,5.553013,1.101568e-06,0.0
1.913408405663313e-05,-4.187926,5.527848,1.117007e-06,0.0
1.9496861612834605e-05,-4.161272,5.502416,1.132771e-06,0.0
1.9866517342817168e-05,-4.134237,5.476713,1.148866e-06,0.0
2.0243181655074273e-05,-4.106817,5.45074,1.1653e-06,0.0
2.062698743061253e-05,-4.079008,5.424497,1.182079e-06,0.0
2.1018070069829954e-05,-4.050805,5.397982,1.19921e-06,0.0
2.1416567540283e-05,-4.022204,5.371197,1.216701e-06,0.0
2.1822620425359263e-05,-3.993203,5.34414,1.234558e-06,0.0
2.2236371973873007e-05,-3.963798,5.316812,1.25279e-06,0.0
2.2657968150601003e-05,-3.933985,5.289214,1.271404e-06,0.0
2.3087557687776487e-05,-3.903762,5.261346,1.290408e-06,0.0
2.3525292137559487e-05,-3.873128,5.23321,1.309809e-06,0.0
2.397132592550195e-05,-3.84208,5.204805,1.329615e-06,0.0
2.4425816405026516e-05,-3.810616,5.176135,1.349836e-06,0.0
2.488892391293827e-05,-3.778736,5.1472,1.370478e-06,0.0
2.536081182598891e-05,-3.74644,5.118003,1.391551e-06,0.0
2.5841646618513415e-05,-3.713726,5.088546,1.413062e-06,0.0
2.6331597921159517e-05,-3.680597,5.058831,1.435022e-06,0.0
2.6830838580730388e-05,5.028862,-3.647052,0.0,1.457438e-06
2.7339544721162505e-05,4.998641,-3.613095,0.0,1.48032e-06
2.7857895805659067e-05,4.968173,-3.578726,0.0,1.503677e-06
2.8386074700001737e-05,4.93746,-3.543949,0.0,1.527519e-06
2.89242677370627e-05,4.906508,-3.508767,0.0,1.551854e-06
2.9472664782539833e-05,4.87532,-3.473185,0.0,1.576693e-06
3.0031459301938236e-05,4.843901,-3.437208,0.0,1.602045e-06
3.06008484288217e-05,4.812257,-3.40084,0.0,1.627921e-06
3.118103303435818e-05,4.780393,-3.364089,0.0,1.654331e-06
3.177221779818389e-05,4.748315,-3.32696,0.0,1.681285e-06
3.237461128061088e-05,4.716029,-3.289463,0.0,1.708794e-06
3.298842599620376e-05,4.683541,-3.251605,0.0,1.736868e-06
3.361387848875134e-05,4.65086,-3.213395,0.0,1.765519e-06
