source_x,mu_1,mu_2,td_1,td_2
3.3941125496954306e-05,4.633928,-3.193551,0.0,1.780527e-06
3.451991049931987e-05,4.60426,-3.158704,0.0,1.8071e-06
3.5108565300463724e-05,4.57445,-3.123592,0.0,1.834161e-06
3.5707258206281005e-05,4.544502,-3.088224,0.0,1.861721e-06
3.631616039272278e-05,4.514422,-3.052608,0.0,1.889787e-06
3.6935445954737925e-05,4.484218,-3.016753,0.0,1.918368e-06
3.756529195604995e-05,4.453894,-2.980669,0.0,1.947473e-06
3.820587847978195e-05,4.423458,-2.944367,0.0,1.977112e-06
3.885738867994557e-05,4.392916,-2.907856,0.0,2.007292e-06
3.952000883380759e-05,4.362275,-2.871147,0.0,2.038025e-06
4.019392839514962e-05,4.331542,-2.834252,0.0,2.069318e-06
4.087934004843601e-05,4.300725,-2.797182,0.0,2.101182e-06
4.1576439763905375e-05,4.26983,-2.759949,0.0,2.133626e-06
4.2285426853601625e-05,4.238866,-2.722564,0.0,2.166661e-06
4.300650402836082e-05,4.207839,-2.685042,0.0,2.200295e-06
4.37398774557689e-05,4.176757,-2.647393,0.0,2.234541e-06
4.448575681910878e-05,4.145629,-2.609631,0.0,2.269407e-06
4.5244355377311924e-05,4.114462,-2.57177,0.0,2.304905e-06
4.60158900259327e-05,4.083263,-2.533822,0.0,2.341045e-06
4.6800581359162144e-05,4.052042,-2.4958,0.0,2.377839e-06
4.759865373289952e-05,4.020805,-2.457719,0.0,2.415296e-06
4.841033532889922e-05,3.989562,-2.419592,0.0,2.453429e-06
4.9235858220011535e-05,3.95832,-2.381432,0.0,2.492248e-06
5.0075458436536383e-05,3.927087,-2.343254,0.0,2.531766e-06
5.092937603370765e-05,3.895872,-2.30507,0.0,2.571995e-06
5.179785516032917e-05,3.864682,-2.266896,0.0,2.612945e-06
5.268114412858076e-05,3.833526,-2.228744,0.0,2.65463e-06
5.3579495485014634e-05,3.802412,-2.190628,0.0,2.697061e-06
5.4493166082762575e-05,3.771348,-2.152561,0.0,2.740252e-06
5.542241715497434e-05,3.740342,-2.114557,0.0,2.784215e-06
5.6367514389508355e-05,3.709401,-2.076629,0.0,2.828963e-06
5.732872800489657e-05,3.678534,-2.038791,0.0,2.87451e-06
5.830633282760366e-05,3.647749,-2.001054,0.0,2.920868e-06
5.9300608370604746e-05,3.617052,-1.963433,0.0,2.968051e-06
6.031183891330256e-05,3.586452,-1.925938,0.0,3.016074e-06
6.134031358280755e-05,3.555957,-1.888582,0.0,3.06495e-06
6.238632643660393e-05,3.525572,-1.851378,0.0,3.114693e-06
6.345017654662543e-05,3.495306,-1.814336,0.0,3.165319e-06
6.45321680847649e-05,3.465166,-1.777468,0.0,3.216841e-06
6.563261040984169e-05,3.435158,-1.740785,0.0,3.269276e-06
6.67518181560529e-05,3.405289,-1.704297,0.0,3.322638e-06
6.789011132293166e-05,3.375566,-1.668015,0.0,3.376943e-06
6.90478153668405e-05,3.345996,-1.631949,0.0,3.432207e-06
7.022526129402461e-05,3.316583,-1.596109,0.0,3.488445e-06
7.142278575525181e-05,3.287335,-1.560502,0.0,3.545674e-06
7.264073114206633e-05,3.258258,-1.52514,0.0,3.603911e-06
7.387944568468427e-05,3.229356,-1.490028,0.0,3.663173e-06
7.5139283551558e-05,3.200636,-1.455177,0.0,3.723477e-06
7.642060495063867e-05,3.172102,-1.420593,0.0,3.78484e-06
7.7723776232366e-05,3.14376,-1.386284,0.0,3.847279e-06
7.904916999441279e-05,3.115614,-1.352257,0.0,3.910814e-06
8.039716518821736e-05,3.08767,-1.318518,0.0,3.975463e-06
8.176814722733161e-05,3.059932,-1.285073,0.0,4.041244e-06
8.316250809761701e-05,3.032404,-1.251928,0.0,4.108175e-06
8.458064646931965e-05,3.005089,-1.219088,0.0,4.176278e-06
8.602296781105651e-05,2.977993,-1.186559,0.0,4.24557e-06
8.748988450574546e-05,2.951118,-1.154345,0.0,4.316073e-06
8.898181596851204e-05,2.924468,-1.12245,0.0,4.387806e-06
9.049918876660764e-05,2.898047,-1.090879,0.0,4.46079e-06
9.204243674137098e-05,2.871856,-1.059634,0.0,4.535046e-06
9.361200113227096e-05,2.8459,-1.028719,0.0,4.610596e-06
9.520833070306404e-05,2.820181,-0.9981361,0.0,4.68746e-06
9.683188187010297e-05,2.7947,-0.9678891,0.0,4.765663e-06
9.848311883283359e-05,2.769462,-0.9379796,0.0,4.845225e-06
0.00010016251370651699,2.744466,-0.9084095,0.0,4.92617e-06
0.00010187054665721457,2.719716,-0.8791805,0.0,5.00852e-06
0.00010360770603907622,2.695214,-0.8502938,0.0,5.092301e-06
0.00010537448853396722,2.67096,-0.8217506,0.0,5.177535e-06
0.00010717139929347858,2.646956,-0.7935516,0.0,5.264247e-06
0.00010899895208335773,2.623203,-0.7656973,0.0,5.352462e-06
0.00011085766943040245,2.599702,-0.738188,0.0,5.442206e-06
0.00011274808277185969,2.576454,-0.7110238,0.0,5.533504e-06
0.00011467073260737205,2.55346,-0.6842043,0.0,5.626382e-06
0.00011662616865351516,2.53072,-0.6577292,0.0,5.720867e-06
0.00011861495000097132,2.508235,-0.6315979,0.0,5.816986e-06
0.00012063764527438128,2.486005,-0.6058095,0.0,5.914766e-06
0.00012269483279492402,2.46403,-0.5803629,0.0,6.014236e-06
0.00012478710074566787,2.44231,-0.555257,0.0,6.115425e-06
0.00012691504733974162,2.420845,-0.5304904,0.0,6.21836e-06
0.00012907928099137317,2.399634,-0.5060616,0.0,6.323072e-06
0.00013128042048984507,2.378677,-0.4819687,0.0,6.429591e-06
0.00013351909517641628,2.357974,-0.4582101,0.0,6.537947e-06
0.00013579594512426067,2.337524,-0.4347836,0.0,6.648171e-06
0.00013811162132147553,2.317327,-0.4116872,0.0,6.760295e-06
0.00014046678585720774,2.29738,-0.3889187,0.0,6.87435e-06
0.0001428621121109568,2.277684,-0.3664756,0.0,6.99037e-06
0.00014529828494510487,2.258238,-0.3443555,0.0,7.108388e-06
0.00014777600090072962,2.23904,-0.322556,0.0,7.228437e-06
0.00015029596839675677,2.220089,-0.3010742,0.0,7.350553e-06
0.00015285890793250825,2.201384,-0.2799075,0.0,7.474769e-06
0.00015546555229370518,2.182923,-0.2590531,0.0,7.601121e-06
0.00015811664676198235,2.164705,-0.238508,0.0,7.729646e-06
0.0001608129493279764,2.146729,-0.2182694,0.0,7.86038e-06
0.0001635552309080483,2.128992,-0.1983342,0.0,7.993361e-06
0.00016634427556469974,2.111494,-0.1786993,0.0,8.128627e-06
0.00016918088073074975,2.094232,-0.1593617,0.0,8.266216e-06
0.0001720658574373337,2.077205,-0.1403182,0.0,8.406168e-06
0.0001750000305457899,2.060411,-0.1215655,0.0,8.548523e-06
0.00017798423898350072,2.043849,-0.1031006,0.0,8.693322e-06
0.00018101933598375618,2.027515,-0.08491994,0.0,8.840605e-06
