source_y,mu_1,mu_2,td_1,td_2
3.299999999999997e-05,-2.432563,137.4176,1.544941e-06,0.0
3.545749206687035e-05,-2.306354,55.19796,1.659992e-06,0.0
3.809799223249016e-05,-2.180697,33.89532,1.783611e-06,0.0
4.093512901052149e-05,-2.055909,24.12789,1.916435e-06,0.0
4.3983545822632686e-05,-1.932299,18.53393,2.059151e-06,0.0
4.725897657814632e-05,-1.810164,14.91711,2.212495e-06,0.0
5.077832688206171e-05,-1.689788,12.39218,2.377259e-06,0.0
5.455976129059558e-05,10.53371,-1.571435,0.0,2.554292e-06
5.8622797064595e-05,9.111835,-1.455351,0.0,2.744508e-06
6.298840490471605e-05,7.991464,-1.341764,0.0,2.94889e-06
6.767911718829664e-05,7.087998,-1.230875,0.0,3.168493e-06
7.271914426657028e-05,6.345755,-1.122866,0.0,3.404449e-06
7.813449942247027e-05,5.72658,-1.017893,0.0,3.657976e-06
8.395313313397341e-05,5.203456,-0.9160887,0.0,3.930383e-06
9.020507733596289e-05,4.756711,-0.8175628,0.0,4.223077e-06
9.692260042519192e-05,4.371682,-0.722401,0.0,4.537567e-06
0.00010414037380838458,4.037214,-0.6306665,0.0,4.875477e-06
0.0001118956508530822,3.744669,-0.5424012,0.0,5.238551e-06
0.00012022845916486244,3.487255,-0.4576267,0.0,5.628663e-06
0.00012918180718333807,3.259557,-0.3763456,0.0,6.047827e-06
0.00013880190616324814,3.057204,-0.2985431,0.0,6.498205e-06
0.00014913840868635935,2.876628,-0.2241884,0.0,6.982122e-06
0.00016024466493521985,2.71489,-0.1532365,0.0,7.502077e-06
0.00017217799805148063,2.569544,-0.08562945,0.0,8.060751e-06
0.00018499999999999997,2.438541,-0.02129848,0.0,8.661028e-06
