source_x,source_y,mu_1,mu_2,mu_3,mu_4,td_1,td_2,td_3,td_4
9.45335547168992e-06,1.4047608075714545e-05,6.738015,9.233834,-8.234536,-4.937979,0.0,0.0905308704,0.1480365504,0.2744801856
2.7987552449781643e-06,2.2005399875237073e-05,0.0,0.0,-9.302836,-4.372558,0.0,0.0,0.08541144576,0.2854816704
1.7999076027926456e-05,2.242133213440066e-05,6.219619,0.0,0.0,-4.490946,0.0,0.0,0.0,0.3683238912
1.7371229080319272e-05,1.5400859049345227e-05,6.139714,0.0,0.0,-4.985173,0.0,0.0,0.0,0.3264193728
2.431828332918515e-05,7.2534328984070396e-06,5.638302,0.0,0.0,-6.0808,0.0,0.0,0.0,0.3291988608
1.4828565191149087e-05,8.76570840159134e-06,6.236189,9.852502,-7.806367,-5.485632,0.0,0.1440169632,0.1999493856,0.27759827519999997
5.782238651507935e-06,2.565106894822495e-05,7.574413,0.0,0.0,-4.178161,0.0,0.0,0.0,0.3220817472
2.405682256942409e-05,6.724354514975163e-06,5.650224,0.0,0.0,-6.133514,0.0,0.0,0.0,0.3250392192
1.9237575522359816e-05,1.931981635695197e-05,6.070865,0.0,0.0,-4.728765,0.0,0.0,0.0,0.3583948896
6.8105497388630834e-06,2.3180965047335245e-05,7.313019,0.0,0.0,-4.321559,0.0,0.0,0.0,0.312272064
1.2447545984048565e-05,1.2024479414645578e-05,6.452548,9.656731,-8.167197,-5.143985,0.0,0.1199241504,0.1730226528,0.2803826016
1.902358151168894e-05,2.290403024444179e-05,6.152369,0.0,0.0,-4.476239,0.0,0.0,0.0,0.37696510079999995
1.0239677829811756e-05,1.623501895608565e-05,6.719077,0.0,0.0,-4.792244,0.0,0.0,0.0,0.2905684704
1.1489482444965431e-05,3.0138889030550547e-05,7.078213,0.0,0.0,-3.974474,0.0,0.0,0.0,0.37854432
8.347591569576978e-06,1.0968330352151805e-05,6.773,8.784544,-7.603362,-5.155459,0.0,0.08069023008000001,0.1532983968,0.2522831616
1.0263600971270515e-05,9.448440737736e-07,6.524052,8.72819,0.0,0.0,0.0,0.10060632000000001,0.0,0.0
2.6018257726884312e-06,1.726901519762323e-05,0.0,0.0,-8.363549,-4.66239,0.0,0.0,0.0998655264,0.2569003776
